Sample	No. Passed QC Reads	Mapped Reads	Mapped Reads % (mapq >= 40)	Duplicate Read %	Times coverage (mean)
SAMN28980115	792,494 	1.16%	100%	0.02%	237.9502X
SAMN28980116	46,603 	1.70%	100%	0.1%	47.0088X
SAMN28980117	1,005,254 	0.57%	100%	0.01%	130.3785X
SAMN28980118	630,647 	1.70%	100%	0.04%	240.6292X
SAMN28980119	823,087 	1.73%	100%	0.05%	336.8876X
SAMN28980120	73,140 	0.58%	100%	0.03%	33.176X
SAMN28980121	2,194,036 	0.45%	100%	0.01%	232.4593X
SAMN28980122	605,162 	0.26%	100%	0%	36.8118X
SAMN28980123	1,450,925 	1.03%	100%	0.03%	371.1443X
SAMN28980124	481,733 	0.43%	100%	0%	51.9399X
SAMN28980125	2,635,659 	0.92%	100%	0.04%	612.5115X
SAMN28980126	777,353 	0.35%	100%	0%	63.1342X
SAMN28980127	897,982 	0.06%	100%	0%	27.2585X
SAMN28980128	341,558 	0.83%	100%	0.01%	71.5489X
SAMN28980129	211,485 	0.32%	100%	0%	16.6594X
SAMN28980130	881,834 	0.98%	100%	0.01%	213.3019X
SAMN28980131	332,960 	3.90%	100%	0.1%	339.9923X
SAMN28980132	761,715 	0.70%	100%	0.01%	142.4917X
SAMN28980133	2,049,964 	0.56%	100%	0.01%	282.9496X
SAMN28980134	820,155 	0.11%	100%	0%	24.6115X
SAMN28980135	166,061 	0.34%	100%	0.01%	11.8955X
SAMN28980136	680,537 	0.04%	100%	0%	10.8539X
SAMN29625806	1,323 	92.29%	100%	7.33%	26.0018X
SAMN29762774	67,802 	0.49%	100%	0%	6.6214X
SAMN29855984	2,624,542 	0.10%	100%	0%	69.6881X
SAMN29855985	18,915,131 	0.01%	99.74%	0%	11.5237X
SAMN29855986	987,306 	0.07%	99.85%	0%	17.512X
SAMN29855987	1,855,836 	1.39%	100%	0.07%	613.983X
SAMN30175277	60,101,712 	0.10%	99.92%	0.01%	15.9113X
SAMN30491548	50,579,736 	0.09%	99.99%	0.01%	18.3129X
SAMN32759818	14,527,938 	0.91%,	100%	0.02%	173.4925X
